Subject,Email_Content,Label
Cash Prize Win,Congratulations! You’ve won a cash prize. Verify your details to claim it.,1
Refund Request Processed,Your recent refund request has been processed. Confirm your details.,1
Exclusive Offer Download,Click here to download your exclusive offer.,1
Your Netflix Subscription Payment Reminder,Your subscription will auto-renew on July 1st. No action is required unless you'd like to update payment information. Visit your account page.,0
Secure Your Account - Unusual Login Attempt,"We noticed a login attempt from a new device. If this was you, no action is needed. If not, please change your password immediately.",0
Important: Update to Privacy Policy,"We've updated our privacy policy in compliance with new regulations. No action is required, but we encourage you to review the updates.",0
Limited-Time Offer: Amazon Prime Day Deals,Enjoy exclusive Prime Day deals for two days only. Shop now and save big on top brands. Visit Amazon for more details.,0
Your Bank Account Statement - June 2024,Your latest account statement is now available online. Log in to your account to view or download it securely.,0
Your eBay Purchase Confirmation,Thank you for your purchase. Your order has been shipped and is expected to arrive soon. Track your shipment here.,0
LinkedIn Password Reset Request,"You recently requested a password reset. If this was not you, disregard this email. Otherwise, click the link to reset your password securely.",0
Confirm Your Participation - Company Webinar,You're invited to join our upcoming webinar on financial planning. Click here to register for the session and secure your spot.,0
Verify Your Email for Microsoft Account Updates,"We need to verify your email address to ensure account security. If this was you, click the secure link below to proceed.",0
Your Health Insurance Policy Update,There are no changes to your current policy. Review your health insurance details for the upcoming year here.,0
PayPal: Your Refund Has Been Processed,A refund has been issued to your account for transaction ID #12345. Please allow 3-5 business days for the amount to reflect.,0
Welcome to Dropbox - Verify Your Email,Please confirm your email to complete your account setup. Click here to verify securely and start using Dropbox.,0
Thank You for Your Donation,We greatly appreciate your donation to our charity. Your support helps us make a difference. Visit our site for updates.,0
Google Account Security Alert,"Your Google account settings were recently updated. If this was not you, review your account activity here.",0
Important: Update Your Contact Information,We noticed your contact information may be outdated. Please log in to your profile and ensure everything is current.,0
Weekly Report - Project Status Update,Here is the weekly status report for Project X. Please review and provide feedback where necessary.,0
Your Annual Credit Card Summary,Your credit card annual summary is now available online. Log in to view or download your statement securely.,0
Your Trip Itinerary - July 2024,Your upcoming trip details are confirmed. Access your itinerary and boarding pass by clicking here.,0
Account Balance Alert: No Action Needed,"Your account balance as of today is $1,234.56. No action is required at this time.",0
Exclusive Discount Code Just for You,Use code SAVE20 at checkout to enjoy 20% off your next order. Offer valid until July 31st.,0
Apple ID: New Login from Safari Browser,"A login to your Apple ID was made from Safari browser on a new device. If this was you, no action is required.",0
Secure Your Investment Portfolio,Learn how to secure and diversify your investment portfolio with our financial planning guide. Read more here.,0
Amazon Gift Card Notification,You've received a $10 Amazon gift card from a friend. Redeem your gift card by entering the code at checkout.,0
Congratulations! You've Earned a Loyalty Reward,Thank you for being a valued customer. Redeem your loyalty reward points for exclusive offers and discounts.,0
Important Notice: New Features in Your App,We've added exciting new features to your favorite app. Update now to enjoy a better experience.,0
Uber Receipt: Your Recent Ride,Here is the receipt for your recent Uber ride. The total fare is $12.50. Thank you for choosing Uber.,0
Reminder: Upcoming Doctor's Appointment,This is a reminder of your scheduled appointment on July 3rd at 10:00 AM. Please arrive 15 minutes early.,0
Welcome to Slack - Confirm Your Email,Get started with Slack by confirming your email address. Click here to join your workspace securely.,0
Activate Your Spotify Premium Account,Your Spotify Premium trial has started. Enjoy ad-free music for the next 30 days. No action is required.,0
Free Webinar: Learn Cybersecurity Basics,Join us for a free webinar to learn about cybersecurity fundamentals and stay safe online. Register here.,0
Your Booking Confirmation - Hotel Stay,Your hotel reservation has been confirmed. Check-in details and booking information are attached.,0
Netflix: Your Account Has Been Updated,"Your account information was updated successfully. If you did not make this change, contact us immediately.",0
Last Chance: Complete Your Account Setup,You're almost there! Complete your account setup to enjoy full benefits and features. Click here to continue.,0
New Device Login: Confirm If This Was You,"A login to your account occurred from a new device. Confirm if this was you; otherwise, secure your account.",0
Thank You for Your Recent Purchase,We hope you love your new product! Track your order or contact us if you need assistance.,0
Event Invitation: Virtual Job Fair 2024,Join us for the Virtual Job Fair and connect with top employers. Click here to reserve your spot.,0
Software Update: Action Recommended,A new update is available for your software. Update now to enjoy improved features and security.,0
Bank Loan Payment Received,Your loan payment of $500 has been successfully processed. Log in to view your updated balance.,0
Your Feedback Matters - Quick Survey,We'd love to hear about your experience. Complete our short survey and receive a discount on your next order.,0
Payment Confirmation for Your Utility Bill,Thank you for paying your utility bill. Your payment confirmation ID is #67890.,0
Limited-Time Sale: Up to 50% Off,Shop our exclusive sale and enjoy discounts up to 50% off select items. Offer valid for a limited time.,0
Free Course: Advanced Excel Training,Boost your skills with our free Excel training course. Learn advanced functions and features online.,0
Your Tax Refund is Now Available,Your recent tax refund has been issued to your bank account ending in 1234. Log in to verify details.,0
Reminder: Scheduled Maintenance Notification,Scheduled system maintenance will occur on July 10th. Access may be temporarily limited.,0
Special Invitation: Customer Appreciation Event,You're invited to our exclusive customer appreciation event. RSVP now to secure your place.,0
Order Shipped: Your Package is on Its Way,Good news! Your package has been shipped and is on its way. Track your delivery status here.,0
Thank You for Joining Our Community,Welcome to our community! We're excited to have you with us. Log in to explore and connect.,0
Email Registration,Verify your email to complete your registration.,0
Free Gift Card,Get your free gift card now! Just click here.,1
Account Suspension Alert,Important: Your account has been suspended due to security issues.,1
Subscription Reminder,Reminder: Your subscription will expire soon. Renew now.,0
Account Flagged,Security notice: Your account has been flagged. Confirm your details here.,1
Subscription Cancellation,Action required: Your subscription has been cancelled.,1
Payment Decline,Your payment was declined. Verify your payment method to proceed.,1
Free Trial Offer,Exclusive offer: Get your free trial today!,0
New Inbox Message,You have a new message in your inbox. Click here to view.,0
Terms Update,We’ve updated our terms and conditions. Please review them.,0
Order Shipment,Your order has been shipped! Track your shipment here.,0
Account Compromise Alert,Immediate action required: Your account may be compromised.,1
Transaction Receipt,Your recent purchase was successful. View your receipt.,0
Account Activation,Activate your account to enjoy all premium features.,0
Your account has been suspended,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Meeting reminder for tomorrow,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Claim your refund now,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Your recent purchase receipt,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Invoice attached for your review,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Reset your password,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Invoice attached for your review,Your order has been shipped. Track your package here: [legitimate-link.com].,0
System maintenance notification,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Feedback request from our team,"Thank you for your order. If you have any questions, feel free to contact us.",0
Feedback request from our team,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Limited time offer for you,You are eligible for a tax refund. Claim your refund now: [phishing-link.com].,1
Your account has been suspended,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Verify your login information,You are eligible for a tax refund. Claim your refund now: [phishing-link.com].,1
Feedback request from our team,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Claim your refund now,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Meeting reminder for tomorrow,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Your account has been suspended,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Your account has been suspended,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Your recent purchase receipt,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Your recent purchase receipt,"Thank you for your order. If you have any questions, feel free to contact us.",0
Your account has been suspended,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
System maintenance notification,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Thank you for your order,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Important security alert,We need you to verify your account details for continued service: [phishing-link.com].,1
Account verification needed,We need you to verify your account details for continued service: [phishing-link.com].,1
Weekly newsletter update,Here is this week's newsletter with the latest updates and offers. Check it out: [legitimate-link.com].,0
Subscription renewal notice,"Thank you for your order. If you have any questions, feel free to contact us.",0
Invoice attached for your review,"Thank you for your order. If you have any questions, feel free to contact us.",0
Limited time offer for you,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Verify your login information,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Claim your refund now,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Account verification needed,We need you to verify your account details for continued service: [phishing-link.com].,1
Subscription renewal notice,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Claim your refund now,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Weekly newsletter update,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Your recent purchase receipt,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Appointment confirmation,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Appointment confirmation,Here is this week's newsletter with the latest updates and offers. Check it out: [legitimate-link.com].,0
Claim your refund now,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Claim your refund now,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Thank you for your order,"Thank you for your order. If you have any questions, feel free to contact us.",0
Verify your login information,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Feedback request from our team,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Your package is delayed,"We received a request to reset your password. If you made this request, click here: [phishing-link.com].",1
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Your account has been suspended,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Feedback request from our team,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Verify your login information,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
System maintenance notification,Our system will undergo maintenance on [date and time]. Services might be temporarily unavailable.,0
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Thank you for your order,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Important security alert,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Delivery update for your order,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Your recent purchase receipt,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Appointment confirmation,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Limited time offer for you,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Claim your refund now,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Your package is delayed,We need you to verify your account details for continued service: [phishing-link.com].,1
Your recent purchase receipt,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Limited time offer for you,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Feedback request from our team,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Important Security Alert,Your account security is at risk. Please verify immediately.,1
General Update,Here is some general information we wanted to share with you.,0
Claim your refund now,We need you to verify your account details for continued service: [phishing-link.com].,1
Verify your login information,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Claim your refund now,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Limited time offer for you,We need you to verify your account details for continued service: [phishing-link.com].,1
Your recent purchase receipt,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Thank you for your order,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
General Update,Here is some general information we wanted to share with you.,0
Meeting reminder for tomorrow,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Appointment confirmation,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Reset your password,We need you to verify your account details for continued service: [phishing-link.com].,1
Delivery update for your order,Our system will undergo maintenance on [date and time]. Services might be temporarily unavailable.,0
Important Security Alert,Your account security is at risk. Please verify immediately.,1
General Update,Here is some general information we wanted to share with you.,0
Weekly newsletter update,Here is this week's newsletter with the latest updates and offers. Check it out: [legitimate-link.com].,0
Your recent purchase receipt,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Appointment confirmation,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
General Update,Here is some general information we wanted to share with you.,0
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Your recent purchase receipt,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Meeting reminder for tomorrow,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Feedback request from our team,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Your recent purchase receipt,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Your Subscription Renewal Notice,Your subscription will expire soon. Please renew it to continue enjoying our services. Visit your account settings to renew. No further action required.,0
Weekly Security Update,"Dear user, this is your weekly security report from ABC Corp. No issues were found. Stay safe online!",0
Account Verification Successful,"Your recent login verification was successful. If this was not you, visit your account page to change the password.",0
Exclusive Sale - Up to 50% Off,Enjoy exclusive discounts for our loyal customers. Shop now on our official website for amazing deals.,0
Your Invoice for Order #456789,"Dear customer, please find attached the invoice for your recent purchase. Thank you for shopping with us!",0
Important: Your Password Has Been Updated,"Your password was successfully updated. If you did not initiate this, contact our support immediately.",0
Bank Statement for June 2024,Please find attached your bank statement for June 2024. Log in to your account to view more details securely.,0
Welcome to Our Rewards Program,You are now a part of our exclusive rewards program. Earn points with every purchase and redeem exciting offers.,0
Order Shipped - Track Your Package,Good news! Your order has been shipped. Click the link to track your package on our official courier website.,0
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Important security alert,We need you to verify your account details for continued service: [phishing-link.com].,1
Meeting reminder for tomorrow,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Subscription renewal notice,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Claim your refund now,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Limited time offer for you,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Delivery update for your order,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Your account has been suspended,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Verify your login information,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Thank you for your order,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Your account has been suspended,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Weekly newsletter update,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Invoice attached for your review,"Thank you for your order. If you have any questions, feel free to contact us.",0
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Verify your login information,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Meeting reminder for tomorrow,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Feedback request from our team,Here is this week's newsletter with the latest updates and offers. Check it out: [legitimate-link.com].,0
Your recent purchase receipt,Our system will undergo maintenance on [date and time]. Services might be temporarily unavailable.,0
Important Security Alert,Your account security is at risk. Please verify immediately.,1
Claim your refund now,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Thank you for your order,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Invoice attached for your review,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Important security alert,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Thank you for your order,"Thank you for your order. If you have any questions, feel free to contact us.",0
System maintenance notification,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Feedback request from our team,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Meeting reminder for tomorrow,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Invoice attached for your review,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Invoice attached for your review,Our system will undergo maintenance on [date and time]. Services might be temporarily unavailable.,0
Feedback request from our team,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Feedback request from our team,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Invoice attached for your review,Here is this week's newsletter with the latest updates and offers. Check it out: [legitimate-link.com].,0
Account verification needed,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Limited time offer for you,We need you to verify your account details for continued service: [phishing-link.com].,1
Verify your login information,"We received a request to reset your password. If you made this request, click here: [phishing-link.com].",1
PayPal Notification: Payment Received,"Dear customer, your payment of $120.00 has been received successfully. Thank you for using PayPal.",0
No Action Needed: Scheduled Maintenance Complete,Our scheduled maintenance is complete. All systems are operational. No action is required from your side.,0
Your Travel Itinerary Confirmation,Your itinerary for flight XYZ123 has been confirmed. Log in to view your ticket and additional details securely.,0
Quarterly Newsletter: Latest Updates,"Welcome to our quarterly newsletter! Stay informed about the latest updates, tips, and announcements.",0
Job Interview Confirmation,"Dear candidate, your interview is scheduled for July 10th at 10 AM. Please confirm your availability.",0
Amazon Prime Membership Renewed,Your Amazon Prime membership has been successfully renewed. Enjoy uninterrupted benefits and services.,0
Thank You for Registering!,Thank you for registering for our upcoming webinar. A confirmation link has been sent to your email.,0
Verify Your New Device,"A new device was used to access your account. If this was you, no further action is needed. Otherwise, change your password immediately.",0
Apple ID: Sign-In Approved,"A sign-in to your Apple ID was approved. If you did not approve this, reset your password immediately.",0
Automatic Reply: Out of Office,Thank you for your email. I am currently out of the office and will respond when I return.,0
Loyalty Points Update,You have earned 500 new loyalty points. Log in to your rewards account to redeem exciting offers.,0
Monthly Utility Bill Ready,Your utility bill for June is now available. Please log in to your account to view and pay securely.,0
Your Resume Has Been Received,"Thank you for applying to our company. Your resume is under review, and we will contact you soon.",0
Tax Refund Confirmation,Your tax refund request has been approved. The amount will be credited to your account within 3-5 business days.,0
E-Ticket Confirmation for Concert,Your e-ticket for the upcoming concert has been confirmed. Download your ticket from our official website.,0
Your recent purchase receipt,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Limited time offer for you,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Invoice attached for your review,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Your account has been suspended,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Your package is delayed,"We received a request to reset your password. If you made this request, click here: [phishing-link.com].",1
Invoice attached for your review,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Verify your login information,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
System maintenance notification,Our system will undergo maintenance on [date and time]. Services might be temporarily unavailable.,0
Account verification needed,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
